particle_id,frame_num,particle_num,time_stamp_s,ecd_um,area_pixels,perimeter,circularity,intensity_mean,intensity_std,intensity_min,intensity_max,max_feret_diam_um,aspect_ratio,x_left,x_right,y_top,y_bottom,edge_particle,experiment,step,type,ml_type_proba
38319,517,9,55.834,8.625,100,40.97,0.87,624.87,135.49,330,797,10.875,0.79,38,50,852,862,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38321,518,2,55.924,7.375,84,45.04,0.72,713.57,71.47,528,799,10.875,0.58,473,486,369,378,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,translucent globular,101
38324,518,5,55.924,6.625,76,34.14,0.91,559.38,203.86,143,799,7.125,0.84,58,66,911,921,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
38331,519,7,56.034,8.125,93,42.87,0.8,578.98,197.75,168,799,8.625,0.9,1267,1278,900,910,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,silicone oil,101
38354,524,4,56.569,6.875,78,35.8,0.87,533.13,213.25,122,799,7.375,0.89,110,119,894,904,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
38362,527,1,56.897,5.125,60,34.73,0.79,687.07,106.55,441,799,7.375,0.73,1245,1254,311,320,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
38392,534,2,57.671,17.625,257,72.67,0.78,352.06,280.05,15,799,20.375,0.79,102,121,142,160,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
38412,538,1,58.081,9.125,109,62.94,0.59,724.38,81.26,478,799,15.125,0.77,323,338,38,50,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,translucent fibral,101
38475,554,2,59.784,49.625,1364,155.54,0.84,210.05,229.99,0,799,60.375,0.72,291,332,170,216,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
38479,555,2,59.893,6.375,73,37.14,0.82,649.32,134.05,335,797,7.875,0.8,816,825,641,650,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38485,557,3,60.111,5.125,60,33.31,0.82,675.45,98.49,456,799,9.125,0.49,72,82,783,790,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
38491,558,4,60.22,6.125,71,37.21,0.8,682.38,93.46,480,798,10.125,0.54,1183,1194,772,780,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
38527,567,1,61.203,11.875,151,54.63,0.8,659.97,140.14,257,799,14.625,0.74,478,494,129,141,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38570,578,2,62.387,15.625,215,72.94,0.71,597.5,164.61,206,799,24.625,0.44,739,763,91,105,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense fibral,101
38580,580,1,62.587,56.125,1690,192.24,0.76,200.71,279,0,799,63.625,0.84,542,592,383,431,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
38585,581,2,62.707,5.625,65,31.9,0.9,565.38,191.88,166,799,6.625,0.73,144,153,222,229,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38597,583,1,62.917,5.125,58,34.56,0.78,723.79,57.48,604,799,8.625,0.47,257,268,97,103,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
38601,584,2,63.007,5.875,67,33.97,0.85,623,159.53,256,797,7.375,0.79,1146,1156,22,30,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38617,588,2,63.437,5.375,62,32.31,0.86,606.13,161.62,239,799,7.125,0.67,888,894,31,41,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38625,590,1,63.637,6.625,76,40.63,0.76,758.07,36.84,666,799,8.625,0.88,690,701,405,414,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
38632,592,1,63.84,5.625,63,33.73,0.83,642.79,141.54,309,799,5.875,0.95,1082,1090,28,36,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
38633,592,2,63.84,9.875,119,47.04,0.82,549.08,203.88,117,798,14.625,0.52,599,614,455,466,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38658,597,2,64.386,9.625,114,46.46,0.81,477.66,241.39,89,799,12.125,0.71,282,296,579,589,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38672,601,1,64.823,13.875,182,62.87,0.76,537.68,211.63,120,799,20.375,0.49,1187,1200,608,628,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38703,608,2,65.588,6.625,75,36.73,0.84,679.84,95.1,491,798,10.625,0.49,136,149,458,464,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38735,612,8,66.024,9.875,118,62.36,0.62,723.1,63.35,567,798,18.875,0.43,1176,1195,936,945,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,translucent fibral,101
38736,612,9,66.024,6.375,73,41.38,0.73,722.77,67.69,528,797,10.625,0.6,484,497,997,1006,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
38769,620,1,66.872,9.875,118,47.04,0.82,600.43,180.78,197,799,11.625,0.92,309,321,378,392,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,silicone oil,101
38773,620,5,66.872,7.125,81,36.8,0.87,608.69,165.77,238,798,8.125,0.78,82,93,1003,1012,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38778,621,5,66.992,6.875,79,37.14,0.85,621.72,142.73,318,796,9.375,0.59,443,455,998,1005,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38782,622,4,67.082,6.875,77,39.04,0.8,565.19,192.36,174,799,9.125,0.59,717,728,997,1006,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38789,623,7,67.202,6.875,79,36.14,0.87,600.86,171.83,219,799,9.625,0.61,1026,1037,994,1002,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
